ap90:apAsaMgaH,2682:apAsaMgaH:n:
ap90:apAsanaM,2680:apAsanaM:n:
ap90:apAsaraRaM,2683:apAsaraRaM:n:
ap90:apAsita,2681:apAsita:n:
ap90:apiSas,2707:apiSas:n:
ap90:apihita,2701:apihita:n:
ap90:apIju,2713:apIju:n:
ap90:apItiH,2709:apItiH:n:
ap90:apuMskA,2718:apuMskA:n:
ap90:apuMstvaM,2717:apuMstvaM:n:
ap90:apUrvIya,2740:apUrvIya:n:
ap90:apUrveRa,2739:apUrveRa:n:
ap90:apekzin,2753:apekzin:n:
ap90:apekzya,2751:apekzya:n:
ap90:apekzya,2751:apekzya:n:
ap90:apeta,2748:apeta:n:
ap90:apogaMqaH,2756:apogaMqaH:n:
ap90:apoQa,2514:apoQa:n:
ap90:apyaMc,2778:apyaMc:n:
ap90:apyadIkzitaH,2777:apyadIkzitaH:n:
ap90:apyaya,2779:apyaya:n:
ap90:apyayaH,2710:apyayaH:n:
ap90:aprajajYi,2803:aprajajYi:n:
ap90:aprajas,2802:aprajas:n:
ap90:apramARa,2860:apramARa:n:
ap90:apramAda,2857:apramAda:n:
ap90:aprayukta,2872:aprayukta:n:
ap90:aprayuccat,2871:aprayuccat:n:
ap90:aprayogaH,2873:aprayogaH:n:
ap90:aprarizwiH,2472:aprarizwiH:n:
ap90:apravIta,2878:apravIta:n:
ap90:apravfttiH,2877:apravfttiH:n:
ap90:aprasava,2886:aprasava:n:
ap90:aprasAdaH,2885:aprasAdaH:n:
ap90:aprasidDiH,2890:aprasidDiH:n:
ap90:aprasUta,2887:aprasUta:n:
ap90:aprAQa,2912:aprAQa:n:
ap90:aprARa,2900:aprARa:n:
ap90:abaMDu,2931:abaMDu:n:
ap90:abaMDra,2930:abaMDra:n:
ap90:abuDna,2946:abuDna:n:
ap90:abuDya,2943:abuDya:n:
ap90:abjas,2950:abjas:n:
ap90:abjA,2948:abjA:n:
ap90:abjit,2951:abjit:n:
