mci:krOYcapAdI,1186:krOYcapAdI:n:
mci:kzudraka,2261:kzudraka:n:
mci:kzemaka,107:kzemaka:n:
mci:kzemadarSIya,688:kzemadarSIya:n:
mci:Kaga,108:Kaga:n:
mci:KaqgasADana,689:KaqgasADana:n:
mci:KaSa,2262:KaSa:n:
mci:KaSika,2263:KaSika:n:
mci:KARqava,1187:KARqava:n:
mci:KARqavadAha,690:KARqavadAha:n:
mci:KARqavaprasTa,1902:KARqavaprasTa:n:
mci:KARqavaprasTa,1902:KARqavaprasTa:n:
mci:gaNga,1189:gaNga:n:
mci:gaNga,1189:gaNga:n:
mci:gaNgA,1188:gaNgA:n:
mci:gaNgodBeda,1193:gaNgodBeda:n:
mci:gaja,109:gaja:n:
mci:gajapura,1903:gajapura:n:
mci:gaRqakI,1194:gaRqakI:n:
mci:gadAyudDa,691:gadAyudDa:n:
mci:ganDatArika,1197:ganDatArika:n:
mci:ganDatArika,1197:ganDatArika:n:
mci:ganDamAdana,110:ganDamAdana:n:
mci:ganDarvatIrTa,1199:ganDarvatIrTa:n:
mci:ganDarvI,111:ganDarvI:n:
mci:garuqa,477:garuqa:n:
mci:garutmant,112:garutmant:n:
mci:garga,2265:garga:n:
mci:gargasrotas,1203:gargasrotas:n:
mci:gargasrotas,1203:gargasrotas:n:
mci:gavaya,113:gavaya:n:
mci:gavAM,1204:gavAM:n:
mci:gavAkza,114:gavAkza:n:
mci:gAnDarvaveda,692:gAnDarvaveda:n:
mci:gAnDAra,2267:gAnDAra:n:
mci:gAnDAra,2267:gAnDAra:n:
mci:gAyatryAH,1207:gAyatryAH:n:
mci:gAruqa,482:gAruqa:n:
mci:girigahvara,2268:girigahvara:n:
mci:girigahvara,2268:girigahvara:n:
mci:girimuYja,1209:girimuYja:n:
mci:guru,872:guru:n:
mci:guruBAra,115:guruBAra:n:
mci:guhyakAstra,483:guhyakAstra:n:
mci:gfDrakUwa,1210:gfDrakUwa:n:
mci:gfhARAM,693:gfhARAM:n:
mci:gokarRa,1212:gokarRa:n:
mci:gograhaRa,694:gograhaRa:n:
mci:godAvarI,1213:godAvarI:n:
mci:gopAlakacCa,2271:gopAlakacCa:n:
mci:gopratAra,1214:gopratAra:n:
mci:govAsa,2272:govAsa:n:
mci:govinda,1220:govinda:n:
mci:GawotkacavaDa,695:GawotkacavaDa:n:
mci:GarmasAgara,1227:GarmasAgara:n:
mci:GozayAtrA,696:GozayAtrA:n:
mci:cakra,116:cakra:n:
mci:cakraSakawa,486:cakraSakawa:n:
mci:caRqatuRqaka,118:caRqatuRqaka:n:
mci:caRqAlikASrama,1909:caRqAlikASrama:n:
mci:candanA,1230:candanA:n:
mci:candanA,1230:candanA:n:
mci:candraka,119:candraka:n:
mci:candrArDa,487:candrArDa:n:
mci:camasa,1233:camasa:n:
mci:campA,1910:campA:n:
mci:carakzA,1235:carakzA:n:
mci:carmaKaRqika,2275:carmaKaRqika:n:
mci:carmaRvatI,1236:carmaRvatI:n:
mci:cArvAkanigraha,697:cArvAkanigraha:n:
mci:cikura,120:cikura:n:
mci:cicCila,2276:cicCila:n:
mci:citra,121:citra:n:
mci:citrapaTA,1239:citrapaTA:n:
mci:citrabarha,122:citrabarha:n:
mci:citravahA,1242:citravahA:n:
mci:citravedika,123:citravedika:n:
mci:citrA,873:citrA:n:
mci:citropalA,1244:citropalA:n:
mci:cIna,2277:cIna:n:
mci:cIravatI,1245:cIravatI:n:
mci:cedivatsa,2280:cedivatsa:n:
mci:cEtyaka,1247:cEtyaka:n:
mci:cEtra,874:cEtra:n:
mci:cEtraka,2281:cEtraka:n:
mci:cEtrI,875:cEtrI:n:
mci:cola,2282:cola:n:
mci:cola,2282:cola:n:
mci:cyavanasya,1249:cyavanasya:n:
mci:CatravatI,1912:CatravatI:n:
mci:CAvI,1250:CAvI:n:
mci:jagattuRqa,2283:jagattuRqa:n:
mci:jawAyus,126:jawAyus:n:
mci:jawAsuravaDa,699:jawAsuravaDa:n:
mci:jaWara,2284:jaWara:n:
mci:jatugfhasya,700:jatugfhasya:n:
mci:janaka,2285:janaka:n:
