1-0656a:acandraSASivAkyavat:83814,83816:acandras4as4iva1kya-vat:acandraSaSivAkyavat
1-0661b:acaladuhitf:84460,84464:acala-duhit2r2:acaladuhiwf
1-0663b:acala-ripu:84712,84714:acala-ripu:acalaripu
1-0665a:acalAsiMha:84852,84854:acala-sim3ha:acalasiMha
1-0666a:acacalAnyAtmatA:84994,84996:acala1nya1tma-ta1:acalAnyAtmatA
1-0668b:acAdiyoga:85310,85312:a-ca1di1yoga:acAdIyoga
1-0669b:acikitsAgadA:85468,85471:aci1kitsa1gada1:acIkitsAgadA
1-0670b:acijjAtIyatva:85602,85604:acijja1tiya-tva:acijjAtiyatva
1-0671b:acittakartfkatva:85722,85724:acitta1kartr2ka-tva:acittAkartfkatva
1-0672b:acitrEkarUpa:85872,85874:acitraikarupa:acitrEkarupa
1-0673a:acitsaMsazwa:85886,85889:acit-sam3sr2s2t2a:acitsaMsfzwa
1-0673b:acidfyavya:85993,85995:acid-dravya:aciddravya
1-0673b:acidDana:85996,85997:acid-ghana:acidGana
1-0680a:acintyaSAra:86827,86830:acintya-sa1ra:acintyasAra
1-0685b:acirAMSucaYicala:87481,87482:acira1m3s4u-can5cala:acirAMSucaYcala
1-0686a:acirABivfdDi:87547,87548:acira1bhaivr2ddhi:acirABEvfdDi
1-0686b:acirotasanna:87617,87618:acirotsanna:acirotsanna
1-0687a:aciroparUQayOvanA:87669,87671:aciroparud2ha-yauvana1:aciroparuQayOvanA
1-0690b:acenatvasvaBAva:88134,88136:acetanatva-svabha1va:acetanatvasvaBAva
1-0692b:acetanaSaNakotTAna:88409,88411:acetanas4an3kottha1na:acetanaSaNkotTAna
1-0693a:acetanASritatva:88495,88497:aceta1na1s4rita-tva:acetAnASritatva
1-0699a:acCawAsaMGAta:89227,89228:acchat2a1-s4an3gha1ta:aCawASaNGAta
1-0703a:acCAgam:89732,89736:a4ccha1-a1-gam-:aCAAgam
1-0704a:acCAyA:89858,89863:a4ccha-a1-ya1:aCaAyA
1-0704a:acCAvAkA:89896,89926:accha1va1ka4:aCAvAka
1-0709b:acCe:90577,90590:a4ccha1-i-:aCE
1-0709b:acCe:90591,90592:accha1-a14-i-:aCAAi
1-0714a:acyutakzoRIpAla:91130,91131:acyuta-ks2on2ipa1la:acyutakzoRipAla
1-0717a:acyutAkzepin:91548,91550:acuta1ks2ep-in:acutAkzepin
2-0725a:ajakarRaka:92336,92338:ajakar2a-ka:ajakafaka
2-0725a:ajakAjata:92373,92377:ajaka1-ja1ta:ajakAjAta
2-0725b:ajakzIraviDi:92424,92426:ajasks2i1ra-vidhi:ajaskzIraviDi
2-0726b:ajagaraSarIra:92555,92557:ajgara-s4ari1ra:ajgaraSarIra
2-0727a:ajagavaDanvan:92626,92628:ajagava-dhavan:ajagavaDavan
2-0728a:ajaNgahAla:92714,92714:a-jan3gha1la:ajaNGAla
2-0728a:ajacarRa:92720,92723:aja-caran2a:ajacaraRa
2-0728a:ajajIzA:92734,92736:aja-jigi1s2a1:ajajigIzA
2-0728a:ajaTaratva:92765,92765:ajat2ha4a-tva:ajaWaatva
2-0729a:ajaqatvAviSeza:92859,92860:ajad2atva1s4es2a:ajaqatvASeza
2-0729a:ajaqaprapaYca:92870,92871:ajada-prapan5ca:ajadaprapaYca
2-0729a:ajadarUpatA:92879,92881:ajad2aru1pa-ta1:ajaqarUpatA
2-0729a:ajaqAjani:92902,92903:aja1d2a1jani:ajAqAjani
2-0729b:ajaqAnuBava:92924,92926:ajad2a1nubha1va:ajaqAnuBAva
