bhs:अकम्पिय,14:अकम्पिय:n:पिय्
pw:रेखी,94755:रेखी:n:एखी
pui:रेचिका,11755:रेचिका:n:एचि
inm:ललीतिक,6435:ललीतिक:n:लीत्
pwg:लिर्गु,86361:लिर्गु:n:लिर्
mw:लीसुष,182880:लीसुष:n:लीस्
sch:लुप्तकेशिकटाटी,22953:लुप्तकेशिकटाटी:n:टाट्
sch:वङ्गुलीजाल,23429:वङ्गुलीजाल:n:लीज्
mw:वचाच्छद,184696:वचाच्छद:n:चाच्
pui:वद्ध्र्यश्व,12164:वद्ध्र्यश्व:n:द्ध्र्
yat:वनसारेजिनी,33122:वनसारेजिनी:n:रेज्
pgn:वम्पियक,242:वम्पियक:n:पिय्
pwg:वम्माग,88051:वम्माग:n:म्मा
sch:वस्तूत्थान,23391:वस्तूत्थान:n:ऊत्थ्
pui:वातड्यस्,12495:वातड्यस्:n:अड्य्
acc:वायूत्पत्ति,46565:वायूत्पत्ति:n:ऊत्प्
pui:वासृजवान्,12665:वासृजवान्:n:आसृ
ccs:विखापन,22196:विखापन:n:खाप्
shs:विगृहोत,36419:विगृहोत:n:ऋहो
mw:विचाचल,194778:विचाचल:n:चाच्
bur:विनिगूहामि,15479:विनिगूहामि:n:ऊहा
mw:विपुलोरस्क,197809:विपुलोरस्क:n:लोर्
bhs:वियूह,14120:वियूह:n:इयू
bhs:वियूहा,14123:वियूहा:n:इयू,ऊहा
bur:विरोचामि,15705:विरोचामि:n:ओचा
mw:विषुणे,202167:विषुणे:n:उणे
mw:विष्णुतुल्यपराक्रम,202466:विष्णुतुल्यपराक्रम:n:णुत्
acc:विष्णुसहस्रनामसंग्रहभाष्य,46797:विष्णुसहस्रनामसंग्रहभाष्य:n:णुस्
acc:वृक्षादिवैकृतशान्ति,37242:वृक्षादिवैकृतशान्ति:n:इवै
mw:वेतालाख्यायिका,205592:वेतालाख्यायिका:n:लाख्
mw:वैकुण्ठशिष्याचार्य,206638:वैकुण्ठशिष्याचार्य:n:ठश्
bhs:वैरोचनव्यूहालंकारगर्भ,14578:वैरोचनव्यूहालंकारगर्भ:n:ऊहा
bur:वोलिका,16268:वोलिका:n:वोल्
shs:व्याधिधात,38981:व्याधिधात:n:धिध्
sch:व्याषिद्धा,24644:व्याषिद्धा:n:याष्
bhs:व्युत्कण्ठश,14723:व्युत्कण्ठश:n:ठश्
sch:शंसिवंस्,24684:शंसिवंस्:n:सिव्
stc:शंसिवांस्,19978:शंसिवांस्:n:सिव्
acc:शङ्करभट्टी,24359:शङ्करभट्टी:n:ट्टी
mw:शंकरभट्टी,213149:शंकरभट्टी:n:ट्टी
mw:शतचण्डीसहस्रचण्ड्यादिविधान,211880.7:शतचण्डीसहस्रचण्ड्यादिविधान:n:ड्या
acc:शतचण्ड्यादिविधान,24438:शतचण्ड्यादिविधान:n:ड्या
mw:शाखापुष्पपलाशवत्,214980:शाखापुष्पपलाशवत्:n:खाप्
sch:शाखोदकधार,24937:शाखोदकधार:n:आखो
acc:शिक्षावल्ल्युपनिषद्,41320:शिक्षावल्ल्युपनिषद्:n:ल्यु,ल्ल्य्
shs:शिरःस्रात,40172:शिरःस्रात:n:ःस्र्
mw:शिलोरस्क,217379:शिलोरस्क:n:लोर्
bhs:शिल्पाभिज्ञ,15027:शिल्पाभिज्ञ:n:पाभ्
acc:शिवरहस्याष्टोत्तरशतनामावलि,37815:शिवरहस्याष्टोत्तरशतनामावलि:n:याष्
bur:शिश्रीसामि,16841:शिश्रीसामि:n:ईसा
sch:शीधव्य,25124:शीधव्य:n:शीध्
mw:शुभवेणुत्रिवेणुमत्,219716:शुभवेणुत्रिवेणुमत्:n:णुत्
pw:शूलेश्वरतीर्थ,113941:शूलेश्वरतीर्थ:n:ऊले
