bur:सिस्निक्षामि,18589:सिस्निक्षामि:n:सिस्
bur:सिस्मयिषे,18590:सिस्मयिषे:n:सिस्
bur:सिस्यन्दिषे,18591:सिस्यन्दिषे:n:सिस्
bur:सिस्रंसिषे,18592:सिस्रंसिषे:n:सिस्
bur:सिस्वदिषे,18594:सिस्वदिषे:n:सिस्
bur:सिस्वरिषामि,18595:सिस्वरिषामि:n:सिस्
pui:सीतेरजा,15946:सीतेरजा:n:ईते
mw:सुखदुःखादि,245676:सुखदुःखादि:n:ःखा
bhs:सुखाभिरति,16882:सुखाभिरति:n:खाभ्
mw:सुखाभिलाष,245851:सुखाभिलाष:n:खाभ्
bhs:सुदृढज्ञानरश्मिजालबिम्बस्कन्ध,16952:सुदृढज्ञानरश्मिजालबिम्बस्कन्ध:n:बस्
