md:अकस्मादागन्तु,65:अकस्मादागन्तु:n:दाग्
acc:तुलसीकाष्ठमाहात्म्य,9142:तुलसीकाष्ठमाहात्म्य:n:सीक्
acc:तुलस्यष्टोत्तरशतनामन्,9160:तुलस्यष्टोत्तरशतनामन्:n:टोत्,ष्टो
mw:तृप्रिन्,86764:तृप्रिन्:n:ऋप्र्
sch:तृष्टावरुत्री,14775:तृष्टावरुत्री:n:टाव्
acc:तैत्तिरीयकभाष्यवनमाला,43796:तैत्तिरीयकभाष्यवनमाला:n:कभ्
pui:तोरणेश्वरी,5577:तोरणेश्वरी:n:णेश्
acc:त्रिकोणकाधिपत्यशोधन,40125:त्रिकोणकाधिपत्यशोधन:n:काध्
acc:त्रिपुरसुन्दरीमानसिकोपचारपूजास्तोत्र,33445:त्रिपुरसुन्दरीमानसिकोपचारपूजास्तोत्र:n:जास्
acc:त्रिपुरसुन्दर्यष्टोत्तरशतनामावली,9313:त्रिपुरसुन्दर्यष्टोत्तरशतनामावली:n:टोत्,ष्टो
acc:त्रिपुराष्टोत्तर,43831:त्रिपुराष्टोत्तर:n:टोत्,ष्टो
acc:त्रिपुरोपुनिषद्,9343:त्रिपुरोपुनिषद्:n:ओपु
acc:त्रिलक्षणीभावप्रकाश,9363:त्रिलक्षणीभावप्रकाश:n:ईभा,णीभ्
pw:त्रिवर्णाचारप्ररूपण,47759:त्रिवर्णाचारप्ररूपण:n:णाच्
acc:त्रिविक्रमपण्डिताचार्य,9391:त्रिविक्रमपण्डिताचार्य:n:ताच्
sch:त्रिष्टावरुत्री,14975:त्रिष्टावरुत्री:n:टाव्
acc:त्र्यक्षरीभाष्य,9461:त्र्यक्षरीभाष्य:n:ईभा
acc:त्वष्ट्रीशान्ति,9483:त्वष्ट्रीशान्ति:n:ईशा,रीश्
acc:दक्षिणकालिकानित्यपूजाविधि,9497:दक्षिणकालिकानित्यपूजाविधि:n:जाव्
mw:दक्षिणाचारितन्त्र,89430:दक्षिणाचारितन्त्र:n:णाच्
vcp:दण्डावतानक,24217:दण्डावतानक:n:डाव्
acc:दत्तात्रेयमहापूजावर्णना,9606:दत्तात्रेयमहापूजावर्णना:n:जाव्
acc:दवीभागवतपुराण,44078:दवीभागवतपुराण:n:वीभ्,ईभा
acc:दशारिष्टशान्ति,9781:दशारिष्टशान्ति:n:टश्
acc:दामोदरभट्टहर्षे,9878:दामोदरभट्टहर्षे:n:र्षे
mw:दुःखपरीतात्मन्,93429:दुःखपरीतात्मन्:n:खप्
vcp:दुच्छन्,25302:दुच्छन्:n:दुच्
acc:दुर्गश्लोकार्थ,10088:दुर्गश्लोकार्थ:n:गश्
acc:दुर्गादकारादिसहस्रनामस्तोत्र,10097:दुर्गादकारादिसहस्रनामस्तोत्र:n:गाद्
acc:दुर्गादत्तसन्मिश्र,10098:दुर्गादत्तसन्मिश्र:n:गाद्
