shs:अक्षब्धु,187:अक्षब्धु:n:ब्धु
ccs:वोशेषिन्,22958:वोशेषिन्:n:वोश्
bhs:वोसारयति,14612:वोसारयति:n:वोस्
bur:व्याधूनोमि,16380:व्याधूनोमि:n:ऊनो
mci:शन्तनोस्,1722:शन्तनोस्:n:नोस्
pui:शमृथ,14119:शमृथ:n:मृथ्
bhs:शाठिय,14912:शाठिय:n:ठिय्
acc:शाठ्योपनिषद्,24805:शाठ्योपनिषद्:n:ठ्यो
acc:शिघ्रबोध,47274:शिघ्रबोध:n:शिघ्
pui:शिघ्र्य,14400:शिघ्र्य:n:शिघ्
pe:शियालि,6661:शियालि:n:शिय्
pui:शुद्धौदन,14640:शुद्धौदन:n:धौद्
bhs:शुभेस्थिता,15137:शुभेस्थिता:n:भेस्
sch:शृङ्गिबेर,25243:शृङ्गिबेर:n:गिब्
pui:शैभ्यास्,14749:शैभ्यास्:n:शैभ्
bhs:शैय्या,15184:शैय्या:n:शैय्
pui:शैलूज,14755:शैलूज:n:लूज्
pui:शैलूस,14756:शैलूस:n:लूस्
ben:श्च्युथ्,14952:श्च्युथ्:n:युथ्
pw:श्यौनःश्येप,114797:श्यौनःश्येप:n:श्यौ
acc:श्रीभीमकाञ्चीविल्लीय,47423:श्रीभीमकाञ्चीविल्लीय:n:ईभी
ccs:श्वबृति,25308:श्वबृति:n:बृत्
pui:श्वशृप,15012:श्वशृप:n:शृप्
sch:षढान्य,25474:षढान्य:n:षढ्
pwg:षीडीय्,122427:षीडीय्:n:षीड्
mw72:सङ्गृभ्या,48566:सङ्गृभ्या:n:ऋभ्य्
ccs:संग्र्हिन्,25799:संग्र्हिन्:n:ग्र्ह्
